"id","chrono","period"
"B0292","TRB","p3.4"
"B0293","TRB","p3.8"
"B0293","TRB","p3.6"
"B0293","TRB","p3.4"
"B0294","SBK","p5.0"
"B0294","SBK","p4.8"
"B0295","ENE","p4.4"
"B0295","ENE","p4.2"
"B0295","ENE","p4.0"
"B0296","SBK","p5.0"
"B0296","SBK","p4.8"
"B0296","TRB","p3.8"
"B0296","TRB","p3.6"
"B0296","TRB","p3.4"
"B0297","TRB","p3.8"
"B0297","TRB","p3.6"
"B0297","TRB","p3.4"
"B0298","TRB","p3.8"
"B0298","TRB","p3.6"
"B0298","TRB","p3.4"
"B0299","SBK","p5.0"
"B0299","SBK","p4.8"
"B0299","TRB","p3.8"
"B0299","TRB","p3.6"
"B0299","TRB","p3.4"
"B0300","SBK","p5.0"
"B0300","SBK","p4.8"
"B0301","TRB","p3.8"
"B0301","TRB","p3.6"
"B0301","TRB","p3.4"
"B0302","SBK","p5.0"
"B0302","SBK","p4.8"
"B0303","SBK","p5.0"
"B0303","SBK","p4.8"
"B0304","SBK","p5.0"
"B0304","SBK","p4.8"
"B0305","SBK","p5.0"
"B0305","SBK","p4.8"
"B0306","SBK","p5.0"
"B0306","SBK","p4.8"
"B0307","SBK","p5.0"
"B0307","SBK","p4.8"
"B0307","LgK","p4.6"
"B0307","LgK","p4.4"
"B0308","SBK","p5.0"
"B0308","SBK","p4.8"
"B0308","ENE","p4.4"
"B0308","ENE","p4.2"
"B0308","ENE","p4.0"
