"id","orig_id","site"
"B0394","JV-1283","Plaňany-U cukrovaru"
"B0395","JV-1284","Plaňany-Na skřipci"
"B0396",NA,"Plaňany-Na melounici"
"B0397",NA,"Plaňany-V lukách"
"B0398",NA,"Plotiště nad Labem_mezi Součkovou a výzkumem"
"B0399",NA,"Plácky-písečník_Marela"
"B0400",NA,"Plotiště nad Labem_rondel"
"B0401",NA,"Plácky-šutrovník-Holecká"
"B0402",NA,"Plotiště nad Labem_za hospodářskými budovami"
"B0403",NA,"Plácky-U zabitého"
"B0404",NA,"Plotiště nad Labem-Plácky_Kydlinov"
"B0405",NA,"Plotiště nad Labem-Součkova cihelna"
"B0406",NA,"Plotiště nad Labem-Vozelnikův mlýn"
"B0407",NA,"Plotiště nad Labem-U předměřické cihelny"
"B0408",NA,"Pňov-Kobylnice"
"B0409","AN/NB – 1217","Pňov-Doubice"
"B0410","ADC-16216","Poboří-"
"B0411","JV-1293","Poboří-"
"B0412",NA,"Podhradí-Veliš"
"B0413","PD-JC-1324","Podkost-Velký Poráň"
"B0414","ADC-16494","Polepy u Kolína-"
"B0415","ADC-16489","Polepy u Kolína-"
"B0416","KH-MA-1049","Poličany-"
"B0417","ADC-15534; P-1313-00034","Poříčany-pískovna Černá obora"
"B0418","P-1313-00009","Poříčany-V rolcích"
"B0419",NA,"Poříčany-Na seňarku"
"B0420","P-1222-00222; P-1222-00237","Postřižín-ul. Pod Topolákem"
"B0421","P-1324-00127","Praskačka-Na pískách"
"B0422","P-1323-00043","Pravy-Za humny"
"B0423","P-1324-00143","Pražské Předměstí-Hořická ul."
"B0424",NA,"Přebozy-u dvora"
"B0425",NA,"Předmeřice nad Labem-písečník V. Petra"
"B0426","P-1322-00110; P-1322-00109; ADC-15880; HK-7056; P-1322-00109; HK-1223; ADC-15875","Předměřice nad Labem-U zahrad"
"B0427","HK-1228","Předměřice nad Labem-pískovna u nádraží"
"B0428","HK-1222","Předměřice nad Labem-Za drůbežárnou"
"B0429","HK-5012","Předměřice nad Labem-cihelna cukrovaru"
"B0430","HK-7058; ADC-15872; HK-1221","Předměřice nad Labem-Honkeho cihelna"
"B0431","HK-7057","Předměřice nad Labem-Slavoj"
"B0432","P-1224-01402","Přemyšlení-Na Brnky"
"B0433","AN – 7003","Přemyšlení-U Cihelny"
"B0434","AN – 1021","Přemyšlení-Veltěžská"
"B0435","AN/NB – 1256","Přerov nad Labem-"
"B0436",NA,"Přistoupim-"
