id,orig_id,region,site,site_note,note,in_analysis
M0458,24-44-24/11,HO,Ježov-Díly,NA,Při terasování svahu Z od vesnice byly narušeny slovanské hroby a objekty kultury s MMK.,TRUE
M0459,FT278,BO,Jinačovice-Klínky,NA,NA,TRUE
M0460,FT138,BO,Jinačovice-Za sýčkami,NA,NA,TRUE
M0461,33-22-04/16,ZN,Jiřice u Moravských Budějovic-Na širokých,Jiřice I,NA,TRUE
M0462,33-22-04/15,ZN,Jiřice u Moravských Budějovic-Pod Borovým,"Jirice V., jindy zase Jiřice IV.",NA,TRUE
M0463,24-43-02/57,VY,Jiříkovice-Díly,Na Dílech,"Šlapanice, viděl v MZM, Pa 12638/40",TRUE
M0464,24-32-24/19,BM,Jundrov-Optátova,"Lelkova, Prašnice",NA,TRUE
M0465,24-32-23/15,BM,Jundrov-U jezírka,NA,NA,TRUE
M0466,FT396,ZN,Kadov-zahrada J. Šidla,NA,"viděl v MZM, i.č. 165668-671",TRUE
M0468,NA,TR,Kdousov-U Cihelny,Cihelna,NA,TRUE
M0469,NA,TR,Kdousov-U Křížku,NA,NA,TRUE
M0470,NA,VS,Kelč-Staré Město-Pod Šibenky,NA,NA,TRUE
M0471,685,MI,Kettlasbrunn-Mistelbacher Breiten,NA,NA,TRUE
M0472,759,MI,Kettlasbrunn-Opersdorferfeld,NA,NA,TRUE
M0473,24-33-08/3,TR,Kladeruby nad Oslavou-Na vlčinském,"Padělky, Na pláňkách, Kuroslepská trať, u lesa Košátek",NA,TRUE
M0474,25-13-09/12,PR,Kladníky-Záhumenky,"Kladníky I.,Nad humny",NA,TRUE
M0475,246,MI,Kleinhadersdorf-Bockfeld,südlich des Ortsfriedhofs,NA,TRUE
M0476,1045,MI,Kleinhadersdorf-In Gründen,Grundern,NA,TRUE
M0477,450,HL,Kleinhöflein-Kühlüssen,NA,NA,TRUE
M0478,495,HL,Kleinsierndorf-Ratscherberg,Baumgartschlössel,NA,TRUE
M0479,24-24-19/8,PV,Klenovice na Hané-Kolečkářky,NA,NA,TRUE
M0480,24-24-19/5,PV,Klenovice na Hané-Louky za Ovčinou,NA,NA,TRUE
M0481,24-24-19/7,PV,Klenovice na Hané-Noviny,"Staré podíly, Trávník",NA,TRUE
M0482,24-24-19/6,PV,Klenovice na Hané-Zábraní,NA,NA,TRUE
M0483,FT362,BV,Klentnice- Länger Acker,"Die Langaecker, U kapličky",RMM,TRUE
M0484,34-12-25/16,BV,Klentnice-Hirschwald,NA,NA,TRUE
M0485,NA,BV,Klentnice-Stará hora,Hladové,NA,TRUE
M0486,34-14-05/12,BV,Klentnice-Za kovárnou,Die Steinaecker,"RMM, MZM",TRUE
M0487,FT234,VY,Kloboučky-Padělky za humny,Pullany za brankou,NA,TRUE
M0488,24-44-06/11,VY,Kloboučky-Za školou,NA,NA,TRUE
M0489,34-21-08/1,BV,Klobouky u Brna-Hradisko,"Díly pod Ochůzky, Díly pod Plunary",viděl,TRUE
M0490,FT69,BV,Klobouky u Brna-Novosady,NA,NA,TRUE
M0491,FT68,BV,Klobouky u Brna-Za psinky,Za psinkami,viděl,TRUE
M0492,14-44-06/1,SU,Klopina-Na lánech,NA,NA,TRUE
M0493,NA,SU,Klopina- U Křemelice,NA,NA,TRUE
M0494,FT39,BM,Kniníčky-Sokolské koup.,Hrázní ul.,NA,TRUE
M0495,24-32-18/5,BM,Kniníčky-U luhu,NA,NA,TRUE
M0496,FT28,BM,Kniníčky-U tří křížů,Obora,NA,TRUE
M0497,24-43-19/4,VY,Kobeřice u Brna-Čtvrtě,NA,Slavkov,TRUE
M0498,24-43-19/1,VY,Kobeřice u Brna-Nová pole,V nových polích,NA,TRUE
M0499,24-24-22/27,PV,Kobeřice-Padělky,NA,NA,TRUE
M0500,34-21-13/6,BV,Kobylí na Moravě-Lumperky,Vigrunty,"Sbírky RMM, př.č. 4/07",TRUE
M0501,34-21-14/12,BV,Kobylí na Moravě-U jezera,NA,"viděl v MZM, i.č. 42046",TRUE
M0502,24-43-07/13,BO,Kobylnice u Brna-Rozdíly,NA,"viděl v MZM, i.č. 165668-671",TRUE
M0503,NA,BO,Kobylnice u Brna-Rybníky,NA,NA,TRUE
M0504,NA,VY,Kobylničky-Kozlének,"Prelátsko, i k.ú. Chaloupky u Otaslavic",NA,TRUE
M0505,FT112,BM,Kohoutovice-Na široké,Na širokých,NA,TRUE
M0506,FT441,TR,Kojatice-Smilová,NA,NA,TRUE
M0507,NA,PR,Kojetín-Babiny,NA,NA,TRUE
M0508,NA,PR,Kojetín-Kroměřížská,NA,NA,TRUE
M0509,24-42-05/4,PR,Kojetín-Nad Křenovskou lávkou,Panské pole,MZM,TRUE
M0510,25-13-06/4,PR,Kokory-Zákostelky,NA,NA,TRUE
M0511,NA,KM,Količín-Šeblínek,NA,NA,TRUE
M0512,NA,KM,Količín-Újezd,Panské Újezdy,"v SASu špatná lokalizace, zde lokalizováno podle popisu P.K. a podle stabilního katastru",TRUE
M0513,24-32-19/1,BM,Komín-Kouty,"Na koutech, i Medlánky-",NA,TRUE
M0514,24-32-24/17,BM,Komín-Luhy,OBI,NA,TRUE
M0515,24-32-24/7,BM,Komín-Nivy,"Niva, Na předním padělku, Absolonova ul., Kouty",NA,TRUE
M0516,24-32-19/3,BM,Komín-Padělky u Medlánek,NA,NA,TRUE
M0517,24-32-24/9,BM,Komín-Pod vinohrady,NA,NA,TRUE
M0518,FT283,VY,Komořany na Moravě-U cihelny,NA,Lnk v MZM Pa53/93,TRUE
M0519,24-33-23/6,ZN,Kordula-Na jitrech,Rešice,NA,TRUE
M0520,NA,UH,Kostelany nad Moravou-Roztoky,NA,NA,TRUE
M0521,24-24-01/26,PV,Kostelec na Hané-K Čelechovicím,Kozí Brada,NA,TRUE
M0522,24-24-01/26,PV,Kostelec na Hané-Kozí brada,"Trnka, Trněnka, 1, Palackého ul.",NA,TRUE
M0523,"24-24-01/8,10",PV,Kostelec na Hané-Niva,3,NA,TRUE
M0524,24-24-01/21,PV,Kostelec na Hané-Prostřední pololány,NA,NA,TRUE
M0525,NA,PV,Kostelec na Hané-Srážka,NA,NA,TRUE
M0526,"24-24-02/7, 24-24-02/8",PV,Kostelec na Hané-Trnka,"Kozí Brada, Trněnka",NA,TRUE
M0527,24-24-01/22,PV,Kostelec na Hané-Za cihelnou,"Rolnická cihelna, Záhumení, Za branou",NA,TRUE
M0528,FT73,BV,Kostice-Louky u lesa,NA,NA,TRUE
M0529,33-21-15/4,TR,Kostníky-Jezevčiny,"Brindlmajs, U suché máje, Na panské nivě u Bründelmaisů,",NA,TRUE
M0530,33-21-10/5,TR,Kostníky-Sedliště,NA,NA,TRUE
M0531,NA,MA,Kostolište-Piesočné,NA,NA,TRUE
M0532,24-42-01/21,VY,Kotáry-Chochola,Podivice-Chochola,P.K. uvádí katastr Podivice,TRUE
M0533,24-42-01/15,VY,Kotáry-Melice,NA,P.K. i SAS chybně lokalizují katastr,TRUE
M0534,FT181,BO,Kounické Předměstí-Réna,Ivančice-,NA,TRUE
M0536,NA,SI,Koválov-Chrasci,Chrasť,NA,TRUE
M0537,NA,SI,Koválov-Koválovca,NA,NA,TRUE
M0538,NA,SI,Koválov-Okrušky od Unína,NA,NA,TRUE
M0539,NA,SI,Koválov-Vinohrádky,NA,NA,TRUE
M0540,FT222,BO,Kovalovice-Díly,NA,NA,TRUE
M0541,24-43-03/1,BO,Kovalovice-Na rovinách,NA,Ivančice,TRUE
M0542,24-33-02/2,TR,Kozlany-Hošťálky,"Díly dolní, (též Třesov)",NA,TRUE
M0543,24-24-08/6,PV,Kralice na Hané-Kralický háj,NA,NA,TRUE
M0544,NA,PV,Kralice na Hané-Noviny,NA,NA,TRUE
M0545,FT270,TR,Kralice nad Oslavou-Klínky,NA,+ústní sdělení M. Kuča,TRUE
