id,site,accuracy,surface,altitude,X,Y
B0290,Libeň-Balabenka,3,NA,200,-738366,-1041644
B0291,Libeň-Na Žertvách,3,FALSE,190,-738597,-1041650
B0292,Libenice-Velký kus,2,FALSE,218,-684857,-1061515
B0293,Líbeznice-obchvat,1,FALSE,228,-736383,-1031626
B0294,Libiš-,1,FALSE,163,-734569,-1022333
B0295,Libiš-,2,FALSE,164,-734028,-1024123
B0296,Libišany-,1,FALSE,230,-647242,-1047366
B0297,Libišany-Na bahnech,1,TRUE,226,-646167,-1046802
B0298,Libišany-,2,TRUE,228,-646532,-1047360
B0299,Libišany-Na nivách,1,FALSE,230,-647563,-1047243
B0300,Libošovice-,1,FALSE,300,-684363,-1005224
B0301,Limuzy-,3,FALSE,288,-716428,-1049945
B0302,Lípa nad Orlicí-Písník k Rašovicím,2,NA,272,-622065,-1050502
B0303,Litíč-Za kravínem,2,NA,338,-638094.02,-1023962.2
B0304,Litíč-,2,TRUE,340,-637669,-1023737
B0305,Litíč-K Vestci,2,TRUE,330,-637045,-1024287
B0306,Lochenice_cihelna,2,NA,248,-641077.2,-1034430.88
B0307,Lochenice-V polích,2,NA,244,-640600.95,-1034212.6
B0308,Lochenice_rozšiřování trati,2,FALSE,242,-640581.11,-1034556.55
B0309,Lochenice-Za humny k Předměřicícm,2,NA,256,-641577.7,-1035561.97
B0310,Lochenice-intravilán,2,TRUE,240,-640910,-1035080
B0311,Lochenice-Na šancích,1,FALSE,252,-640481.62,-1033716.82
B0312,Lochenice-SV okraj obce,2,FALSE,250,-640978,-1034770
B0313,Lochenice-,2,TRUE,240,-641051,-1035448
B0314,Lochenice-,2,NA,250,-640948,-1034760
B0316,Loučeň-,3,NA,256,-697838,-1027244
B0317,Malín-u vepřína,3,FALSE,210,-681591,-1064670
B0318,Malotice-Za zahradami,3,FALSE,312,-705633,-1062173
B0319,Máslojedy,2,TRUE,332,-645674,-1032180
B0320,Máslojedy,2,TRUE,300,-643767,-1032629
B0321,Máslovice-Na dole,2,TRUE,178,-744984,-1029670
B0322,Mašov u Turnova-Valdštejnsko,1,FALSE,262,-682051,-997011
B0323,Mcely-Na Kamenci,3,TRUE,216,-692885,-1026628
B0324,Mělčany u Dobrušky-Chlum,2,TRUE,325,-615478,-1039137
B0325,Měšice u Prahy-,3,NA,200,-734447,-1030954
B0326,Michle- pískovna,3,FALSE,230,-740578,-1048743
B0327,Mikulovice u Pardubic,NA,NA,252,-647690.25,-1066145.37
B0328,Mikulovice u Pardubic-ul.V loučkách,1,FALSE,246,-647908,-1065838
B0329,Mikulovice u Pardubic-Kašparova cihelna,2,FALSE,244,-647445,-1065690
B0330,Milíčeves-Zámecká zahrada,1,FALSE,262,-669941,-1019974
B0331,Milíčeves-intravilán,1,FALSE,255,-669209,-1019898
B0332,Milovice u Hořic-Nad vorlem,2,FALSE,266,-653978,-1027880
B0333,Mladá Boleslav-Jičínská ul.,1,FALSE,212,-700719,-1012543
B0334,Mladá Boleslav-u Dolanského statku,2,TRUE,210,-701125,-1012771
B0335,Mladá Boleslav-Staroměstské nám.,2,FALSE,234,-704081,-1012032
B0336,Mlékovice-zaharada p. Novotného,3,NA,284,-701540,-1060445
B0337,Mnichovo Hradiště-Nad maliním,2,TRUE,230,-698144,-1001483
B0338,Močovice-U studánky,3,FALSE,250,-678797,-1071460
B0339,Močovice-První Lochovsko,2,FALSE,250,-679534,-1071093
B0340,Močovice-Na trnince,2,NA,250,-679139,-1070927
B0341,Močovice-Na kopě,2,FALSE,270,-678945,-1071787
B0342,Modřany-K vystrkovu,1,FALSE,202,-745098,-1052588
B0343,Modřany-Andělova ul.,2,FALSE,226,-744622,-1051536
B0344,Mochov-Na Nehvizdku,1,FALSE,220,-716967,-1041350
B0345,Mochov-Nad domkem,2,FALSE,198,-714126,-1040562
B0346,Mochov-obecní pískovna u Obory,2,FALSE,198,-713849,-1040402
B0347,Mratín-Nový Mratín,2,FALSE,182,-731510,-1031128
B0348,Mrzky-Nad vsí,2,TRUE,270,-715919,-1051001
B0349,Mrzky-U kamenného kříže,2,NA,244,-715580,-1050550
B0351,Nadslav-Na vrších,2,TRUE,324,-678994,-1014866
B0352,Nahořany nad Metují-,3,NA,294,-621029,-1028627
B0353,Nebovidy-Zádušní pole,2,FALSE,254,-687549,-1061425
B0354,Nebovidy-,1,FALSE,206,-685899,-1060235
B0355,Neratovice-Spolana,2,FALSE,161,-733089,-1024020
B0356,Nevratice-Na Zádušníku,2,TRUE,266,-664654,-1024057
B0357,Neznášov,2,NA,280,-638527,-1028632
B0358,Neznášov,2,TRUE,260,-638165,-1029457
B0359,Nová Ves I-Ohrada,2,FALSE,200,-691237,-1054447
B0360,Nová Ves I-S od obce pri polni ceste k Labi,3,NA,194,-691129,-1052759
B0361,Nová Ves I-zahrada domu č.p. 25,2,NA,202,-692031,-1053801
B0362,Nová Ves I-obecní hliník,3,NA,216,-692814,-1053284
B0363,Nové Dvory u Kutné Hory-V bojišti,2,NA,210,-680943,-1065202
B0364,Nové Dvory u Kutné Hory-V prostředních lukách,1,NA,205,-681392,-1063435
B0365,Nový Bydžov-severní úpatí Chlumu,2,TRUE,238,-661694,-1036369
B0366,Nový Bydžov-Schnablova cihelna,2,FALSE,230,-665347,-1036482
B0367,Nový Bydžov-Mlýniště,2,TRUE,226,-664009,-1035328
B0368,Nymburk-Kostelní nám.,1,FALSE,186,-697303,-1038071
B0369,Nymburk-,1,FALSE,186,-694911,-1038129
B0370,Nymburk-Velké valy,1,FALSE,186,-697783,-1038031
B0371,Nymburk- seřazovací nádraží,2,FALSE,186,-695296,-1037880
B0372,Obruby-,2,TRUE,264,-690594,-1007731
B0373,Obříství-U Talicha,2,FALSE,166,-735198,-1021004
B0374,Obříství-Svatopluka Čecha,2,FALSE,164,-735548,-1020658
B0375,Obříství-Na Tarase,1,FALSE,164,-736112,-1020474
B0376,Odolena Voda-Velký háj,1,FALSE,272,-742077,-1027272
B0377,Ohaveč-,3,TRUE,320,-674756,-1010835
B0378,Ohrobec-Nad Úvozem,2,FALSE,368,-744457,-1059028
B0379,Olšina-Kurovodice,2,NA,246,-692596,-999116
B0380,Opatovice nad Labem,3,NA,224,-644513.49,-1050520.52
B0381,Opatovice nad Labem-V Dílcích,2,FALSE,225,-644326,-1049684
B0382,Opolánky-Staré Badry,3,FALSE,196,-684191,-1046173
B0383,Osnice-U Herinku,1,FALSE,350,-734598,-1057468
B0384,Osnice-Na Vrbici,2,TRUE,350,-735112,-1056946
B0385,Ostroměř-Starohorská ul.,1,FALSE,264,-659310,-1021683
B0386,Ostrov v Podkrkonoší,2,TRUE,274,-652951,-1026626
B0387,Ostrov v Podkrkonoší-Pod kazatelnou,2,NA,276,-652133,-1027268
B0388,Pardubice-V úzkém,1,FALSE,220,-644959,-1059184
B0389,Pašinka-U hřiště,2,FALSE,274,-690166,-1060517
B0390,Pašinka-Na stráních,2,FALSE,284,-690153,-1061143
B0391,Perštejnec,1,FALSE,256,-682237,-1067974
B0392,Petrovice-Dobrá Voda,2,FALSE,294,-733678,-1050469
B0393,Pitkovice-Nové Pitkovice,3,FALSE,282,-732266,-1052287
B0394,Plaňany-U cukrovaru,2,FALSE,216,-700562,-1053254
B0395,Plaňany-Na skřipci,3,NA,212,-700910,-1053022
B0396,Plaňany-Na melounici,2,FALSE,222,-701109,-1052570
B0397,Plaňany-V lukách,3,FALSE,218,-699637,-1053525
B0398,Plotiště nad Labem_mezi Součkovou a výzkumem,1,NA,248,-642360.43,-1038243.08
B0399,Plácky-písečník_Marela,1,NA,234,-642188.45,-1040564.8
B0400,Plotiště nad Labem_rondel,1,NA,242,-643011.91,-1039701.1
B0401,Plácky-šutrovník-Holecká,1,NA,232,-642102.46,-1040286.99
B0402,Plotiště nad Labem_za hospodářskými budovami,1,NA,247,-643174.02,-1038759.02
B0403,Plácky-U zabitého,1,NA,232,-641612.98,-1040167.92
B0404,Plotiště nad Labem-Plácky_Kydlinov,1,NA,234,-641361.63,-1039109.59
B0405,Plotiště nad Labem-Součkova cihelna,1,FALSE,248,-642651.85,-1038511.1
B0406,Plotiště nad Labem-Vozelnikův mlýn,1,NA,238,-641771.73,-1037815.34
B0407,Plotiště nad Labem-U předměřické cihelny,1,FALSE,248,-642011.56,-1037685.6
