orig,rowid,orig_id,point_x,point_y,region,site,site_note,accuracy,surface,altitude,source,note,chrono1,chrono2,chrono1_label,chrono2_label
b,C0078,HK-1040,-636518,-1030192,HK,Černožice nad Labem-Čáslavky,NA,2,FALSE,254,AMČR,NA,SBK,SBK Late,SBK,SBK Late
b,C0079,HK-1034,-636837,-1030174,HK,Černožice nad Labem-železnice,NA,2,FALSE,255,"Duška J. 1898: Nálezy předhistorické v kraji královéhradeckém, 42; Stocký A. 1926:   Pravěk země české I. Věk kamenný., 166",NA,SBK,NA,SBK,NA
b,C0080,NA,-731932,-1042535,A9,Černý Most-jižně od Chlumecké ul.,"Černý most II, dříve k.ú. Kyje",2,FALSE,256,Lutovský et al. 2005,NA,ENE,NA,Early Ene.,NA
b,C0081,ADC-16488,-688688,-1062341,KL,Červené Pečky-Parkán,NA,2,NA,280,"Rulf J. 1983: PA 74, 81",NA,ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0082,JV-1031,-688593,-1061343,KL,Červené Pečky-U nádraží,Panské pole pod nádražím,3,NA,270,"Dvořák F.: Kolinsko 1936, str.78-9,128.",NA,TRB,NA,TRB,NA
b,C0083,ADC-16480,-689651,-1061742,KL,Červené Pečky-U panského ovčína,Za ovčínem,3,NA,290,"Dvořák F.: 1936,129; Novotný B.: 1948.13; Stocký A. 1926: Pravěk země české I. Věk kamenný.",NA,SBK,NA,SBK,NA
b,C0083,ADC-16480,-689651,-1061742,KL,Červené Pečky-U panského ovčína,Za ovčínem,3,NA,290,"Dvořák F.: 1936,129; Novotný B.: 1948.13; Stocký A. 1926: Pravěk země české I. Věk kamenný.",NA,TRB,NA,TRB,NA
b,C0084,ADC-15516,-712487,-1049214,KL,Český Brod-K Dolankám,"cihelna paní Králové, Na cihelně",2,FALSE,226,"Justová J.: ASM 6 1968, str.27; ARÚ Praha HLAS 1017/1959, HLAS 1548/1959",NA,SBK,NA,SBK,NA
b,C0084,ADC-15516,-712487,-1049214,KL,Český Brod-K Dolankám,"cihelna paní Králové, Na cihelně",2,FALSE,226,"Justová J.: ASM 6 1968, str.27; ARÚ Praha HLAS 1017/1959, HLAS 1548/1959",NA,TRB,NA,TRB,NA
b,C0085,NA,-713219,-1050230,KL,Český Brod-Klímova cihelna,NA,2,FALSE,240,"Justová J.: ASM 6 1968, str.27",NA,TRB,NA,TRB,NA
b,C0086,ADC-30143,-673758,-1024860,JC,Češov-Češovské valy,NA,2,TRUE,320,"BZO 2005; Ulrychová E. 2001: Sídlištní areály s kruhovými objekty na Jičínsku, Otázky neolitu a eneolitu našich zemí, 56-62, Plzeň",NA,SBK,SBK Early,SBK,SBK Early
b,C0087,P-1322-00163,-637102,-1033621,HK,Číbuz-,NA,2,TRUE,240,Doležel 2012,NA,TRB,NA,TRB,NA
b,C0088,AN/NB – 1007,-700923,-1034092,NB,Čilec-Pískovna J. Kozla,NA,2,FALSE,196,AMČR,NA,ENE,ENE Proto,Early Ene.,Proto Ene.
b,C0089,xy-1129,-741377,-1037062,A8,Čimice-Žalovská ul.,NA,2,FALSE,300,BZO 1976-77,NA,TRB,NA,TRB,NA
b,C0090,HK-1044,-647625,-1032465,HK,Čistěves-,NA,1,TRUE,270,"Vích,D. - Vokolek,V. 1997: Nálezy získané do sbírek AO MVČ v letech 1996-97,   Zpravodaj MVČ 23, 3-27",NA,SBK,NA,SBK,NA
b,C0091,P-1322-00098; ADC-15925,-647889,-1031588,HK,Čistěves-U německého rybníka,NA,2,TRUE,266,"BZO 1984-85; Kalferst J., Sigl J. 1985: Archeologické nálezy v roce 1984, ZKMVČ XII/1, 7","V literatuře uváděna volutová keramika, jde však o nevýrazný soubor vypíchané keramiky",SBK,NA,SBK,NA
b,C0092,P-1312-00174,-685321,-1019048,JC,Dětenice-bioplynová stanice,NA,1,FALSE,230,Novák et al. 2017,NA,SBK,SBK Early,SBK,SBK Early
